,C1S1,C1S2,C1S3,C2S1,C2S2,C2S3,C3S1,C3S2,C3S3,C4S1,C4S2,C4S3
C1S1,0.346534653,0.11627907,0.035211268,0.054421769,0.342465753,0.018518519,0.023255814,0.070921986,0.009463722,0.000990099,0.002906977,0.002112676
C1S2,0.291970803,0.318584071,0.179775281,0.012903226,0.19138756,0.007619048,0.007079646,0.009950249,0.001746725,0.002335766,0.002831858,0.001797753
C1S3,0.262582057,0.09495549,0.184331797,0.033755274,0.007343941,0.026936027,0.005934718,0.01029601,0.006543075,0.002625821,0.003560831,0.007373272
C2S1,0.016701461,0.044568245,0.008368201,0.231660232,0.143027414,0.12539185,0.033426184,0.010012516,0.008519702,0.002505219,0.002228412,0.008368201
C2S2,0.015885624,0.007023705,0.005888126,0.076997113,0.321185917,0.109190173,0.07023705,0.379987334,0.232693426,0.00127085,0.001755926,0.000392542
C2S3,0.014869888,0.019138756,0.040268456,0.100628931,0.08908686,0.402116402,0.04784689,0.046620047,0.04008016,0.002973978,0.003827751,0.002684564
C3S1,0.022770398,0.098280098,0.027874564,0.013029316,0.013528749,0.016348774,0.294840295,0.094451004,0.089159068,0.003795066,0.001965602,0.004181185
C3S2,0.021419009,0.051036683,0.031558185,0.003795066,0.018066847,0.00681431,0.127591707,0.262417994,0.298260149,0.001606426,0.001913876,0.003155819
C3S3,0.013274336,0.051020408,0.021084337,0.01754386,0.03164557,0.01344086,0.132653061,0.173202614,0.498533724,0.000884956,0.00255102,0.001807229
C4S1,0.00140007,0.001772264,0.001207001,0.001138304,0.000858922,0.003889159,0.000886132,0.000897465,0.000775645,0.519425971,0.295081967,0.078455039
C4S2,0.003223727,0.003197442,0.002103049,0.003996004,0.000407997,0.001737619,0.001598721,0.000850702,0.001480933,0.37653127,0.433253397,0.262881178
C4S3,0.002478315,0.004393191,0.003276003,0.007570023,0.000947643,0.004935225,0.002196595,0.000497389,0.001694556,0.284180091,0.210873147,0.258804259
